name,rating,reviews,company_type,Head_Quarters
TCS,3.3,(1.1L),IT Services & Consulting,Bengaluru +439 other locations
Accenture,3.7,(72.1k),IT Services & Consulting,Bengaluru +255 other locations
Wipro,3.6,(64k),IT Services & Consulting,Hyderabad +371 other locations
Cognizant,3.6,(60.4k),IT Services & Consulting,Hyderabad +232 other locations
Capgemini,3.7,(52k),IT Services & Consulting,Bengaluru +182 other locations
HDFC Bank,3.8,(51.2k),Banking,Mumbai +1836 other locations
Infosys,3.5,(47.8k),IT Services & Consulting,Bengaluru +248 other locations
ICICI Bank,4.0,(45.3k),Banking,Mumbai +1440 other locations
HCLTech,3.4,(45k),IT Services & Consulting,Chennai +231 other locations
Tech Mahindra,3.4,(42.7k),IT Services & Consulting,Hyderabad +330 other locations
Genpact,3.6,(41.3k),Analytics & KPO,Hyderabad +181 other locations
Teleperformance,3.8,(37.2k),BPO,Mumbai +255 other locations
Jio,4.4,(33.3k),Telecom,Mumbai +1962 other locations
Axis Bank,3.6,(32.6k),Banking,Mumbai +1509 other locations
Concentrix Corporation,3.6,(31.6k),BPO,Bengaluru +178 other locations
Amazon,3.9,(30.9k),Internet,Bengaluru +520 other locations
iEnergizer,4.6,(27.2k),BPO,Noida +52 other locations
Reliance Retail,3.9,(27.1k),Retail,Mumbai +1157 other locations
LTIMindtree,3.6,(26.1k),IT Services & Consulting,Bengaluru +145 other locations
IBM,3.9,(25.4k),IT Services & Consulting,Bengaluru +161 other locations
HDB Financial Services,3.9,(25.3k),NBFC,Mumbai +1092 other locations
Larsen & Toubro Limited,3.9,(23.5k),Engineering & Construction,Chennai +761 other locations
Deloitte,3.7,(22.6k),Management Consulting,Hyderabad +188 other locations
Kotak Mahindra Bank,3.6,(22.1k),Banking,Mumbai +687 other locations
Reliance Industries,4.0,(19.9k),Oil & Gas,Jamnagar +816 other locations
Vodafone Idea,3.9,(17.5k),Telecom,Pune +704 other locations
Bharti Airtel,3.8,(16.9k),Telecom,Gurugram +795 other locations
BYJU'S,3.2,(16.4k),EdTech,Bengaluru +322 other locations
WNS,3.3,(14.9k),IT Services & Consulting,Pune +66 other locations
IDFC FIRST Bank,3.9,(14.2k),Banking,Mumbai +715 other locations
Ernst & Young,3.4,(14.2k),Management Consulting,Bengaluru +132 other locations
Tata Motors,4.1,(14.1k),Automobile,Pune +508 other locations
IndusInd Bank,3.4,(14k),Banking,Mumbai +792 other locations
AU Small Finance Bank,3.9,(14k),Banking,Jaipur +791 other locations
Muthoot FinCorp,4.6,(13k),NBFC,Bengaluru +1116 other locations
Bajaj Finserv,4.0,(12.8k),NBFC,Pune +1174 other locations
Flipkart,3.9,(12.7k),Internet,Bengaluru +558 other locations
PwC,3.3,(12.2k),Management Consulting,Bengaluru +132 other locations
Mahindra & Mahindra,4.0,(11.9k),Automobile,Pune +564 other locations
Infosys BPM,3.5,(11.9k),BPO,Bengaluru +96 other locations
DXC Technology,3.6,(11.8k),IT Services & Consulting,Bengaluru +133 other locations
HDFC Life,3.9,(11.8k),Insurance,Mumbai +706 other locations
Bandhan Bank,3.7,(10.8k),Banking,Kolkata +998 other locations
Digitide Solutions,3.5,(10.2k),IT Services & Consulting,Hyderabad +270 other locations
Mphasis,3.3,(10.1k),IT Services & Consulting,Bengaluru +64 other locations
Yes Bank,3.6,(10k),Banking,Mumbai +541 other locations
Tata Steel,4.0,(9.8k),Iron & Steel,Jamshedpur +229 other locations
Quess,3.8,(9.6k),Recruitment,Bengaluru +742 other locations
Maruti Suzuki,4.2,(9.4k),Automobile,Gurugram +452 other locations
Asian Paints,3.9,(9.4k),Chemicals,Mumbai +553 other locations
